  weak-norm-under-binders-simplified.bel#redVar no proof found (calls=123)
  weak-norm-under-binders-beta-only.bel#monotoneSub no proof found (calls=59)
  weak-norm-under-binders-simplified.bel#monotone no proof found (calls=62)
  weak-norm-under-binders-simplified.bel#idLogSub no proof found (calls=38)
  weak-norm-under-binders.bel#wknVar no proof found (calls=66)
  weak-norm-under-binders-simplified.bel#weakNorm no proof found (calls=35)
  weak-norm-under-binders.bel#wknVarSub no proof found (calls=25)
  weak-norm-under-binders.bel#extVarSub no proof found (calls=48)
  weak-norm-under-binders.bel#idIsVarSub no proof found (calls=21)
  weak-norm-under-binders.bel#shiftIsVarSub no proof found (calls=34)
  weak-norm-under-binders.bel#rwkn   no proof found (calls=31)
  weak-norm-under-binders-simplified.bel#eval no proof found (calls=55)
  weak-norm-under-binders.bel#haltsStep no proof found (calls=6786)
  weak-norm-under-binders.bel#reflect no proof found (calls=241)
  weak-norm-under-binders-simplified.bel#monotoneSub no proof found (calls=76)
  weak-norm-under-binders.bel#closed no proof found (calls=181)
  weak-norm-under-binders.bel#compose no proof found (calls=27)
  weak-norm-under-binders.bel#idRedSub no proof found (calls=32)
  weak-norm-under-binders.bel#wknRed no proof found (calls=35)
  weak-norm-under-binders.bel#redVar no proof found (calls=125)
  weak-norm.bel#bwd_closed           no proof found (calls=75)
  weak-norm-under-binders.bel#weakNorm no proof found (calls=404)
  weak-norm.bel#lookup               no proof found (calls=94)
  weak-norm.bel#weakNorm               223 calls  106 chars  -> PASS
  iscan.bel#iscan                    no proof found (calls=undefined)
  iscan.bel#iscan_thm                no proof found (calls=undefined)
  uni-complete-crec.bel#cmpcs        no proof found (calls=undefined)
  uni-complete.bel#cmpcs             no proof found (calls=undefined)
  uni-sound-crec.bel#s_sound         no proof found (calls=undefined)
  uni-sound-crec.bel#ss_sound        no proof found (calls=undefined)
  uni-sound.bel#s_sound              no proof found (calls=undefined)
